time [MJD]                x [AU]                    y [AU]                    z [AU]                   
48004.4148548611          -0.842085847595701        -0.549528613943146        2.99141475559743e-05     
48004.940780787           -0.837258107431871        -0.557138389187105        -5.76948719534717e-05    
48005.466706713           -0.832392544665993        -0.564622679219158        -6.76445889489263e-06    
48005.9926326389          -0.827371487018752        -0.572194367723781        1.06587902509023e-05     
48006.5185585648          -0.822373230155591        -0.579620059078536        -6.46813903824775e-05    
48007.0444844907          -0.817275790861873        -0.587001736746458        1.96669092352916e-05     
48007.5704104167          -0.812065235737178        -0.594430418500763        -2.02125163456829e-05    
48008.0963363426          -0.806887045634875        -0.601680747853223        -5.07203401627809e-05    
48008.6222622685          -0.801558026150847        -0.608964355809387        3.05099690359888e-05     
48009.1481881944          -0.796182112190395        -0.61621641881269         -4.94747721929024e-05    
48009.6741141204          -0.790805837546441        -0.623313703522117        -2.18800812552026e-05    
48010.2000400463          -0.785261015374595        -0.63048429625477         2.07815236402568e-05     
48010.7259659722          -0.779732404584481        -0.637540376141391        -6.44292115855515e-05    
48011.2518918982          -0.774140427598877        -0.644508410726727        9.31350855762589e-06     
48011.7778178241          -0.76840726009577         -0.651536170853901        -5.42256432196675e-06    
48012.30374375            -0.762722492281449        -0.658396722203117        -5.85340147389315e-05    
48012.8296696759          -0.756907644213159        -0.665248490173962        2.91821700379063e-05     
48013.3555956019          -0.751015790012033        -0.672099833953267        -3.65590577126136e-05    
48013.8815215625          -0.745157765496334        -0.678782041137941        -3.41806337790962e-05    
48014.4074474884          -0.739129401631527        -0.685512553104982        2.89745700452665e-05     
48014.9333734144          -0.733099515561936        -0.692162695369211        -5.87555131032242e-05    
48015.4592993403          -0.727046352280179        -0.698690495897275        -1.82525187346759e-06    
48015.9852252662          -0.720829547289358        -0.705277574956309        8.77222099376111e-06     
48016.5111511921          -0.714665436160652        -0.711718920307971        -6.20965650989357e-05    
48017.0370771181          -0.708402155422045        -0.718110630522703        2.43390509482578e-05     
48017.563003044           -0.702029557769759        -0.724523257554052        -2.24069106272374e-05    
48018.0889289699          -0.695717582847011        -0.730766011025009        -4.49700793782156e-05    
48018.6148548958          -0.689245410542239        -0.737024999837262        3.26968450421969e-05     
48019.1407808218          -0.682744953406006        -0.743235329421129        -5.06300134100167e-05    
48019.6667067477          -0.676261313029447        -0.749300469083778        -1.48229674157719e-05    
48020.1926326736          -0.669600328875841        -0.75541265908984         1.93603498338506e-05     
48020.7185586343          -0.662984326935324        -0.761406157852328        -6.33476514734972e-05    
48021.2444845602          -0.656307284461728        -0.767314260306145        1.49759593588728e-05     
48021.7704104861          -0.649490674544862        -0.773253218548434        -9.90124476213799e-06    
48022.296336412           -0.642751435605374        -0.779032549778894        -5.49787939785825e-05    
48022.8222623727          -0.635873520306803        -0.784793309150968        3.07243189415467e-05     
48023.3481882986          -0.628935160194029        -0.790530669484793        -4.21478323938301e-05    
48023.8741142593          -0.622049655446411        -0.796111859934429        -2.93858475640514e-05    
48024.4000401852          -0.614983995064897        -0.801718859819476        2.49539643906844e-05     
48024.9259661111          -0.607945022465348        -0.8072351292745          -6.31295974634918e-05    
48025.451892037           -0.60088674497152         -0.81263825937716         1.68639722151521e-06     
48025.977817963           -0.593664453905634        -0.818070942060373        -2.12936918886052e-07    
48026.5037438889          -0.586525103178045        -0.823361757438007        -6.37723948169725e-05    
48027.0296698148          -0.579278219599228        -0.828600453192026        2.37156307662145e-05     
48027.5555957639          -0.571937141976383        -0.833832257933944        -3.38142660431654e-05    
48028.0815216898          -0.564677960745599        -0.838907591113258        -4.41346280844918e-05    
48028.6074476157          -0.557247341140369        -0.84398195084039         2.61106065274088e-05     
48029.1333735417          -0.549817020085555        -0.848990674276952        -6.09919138477025e-05    
48029.6592994676          -0.542409190748351        -0.853867900964983        -1.34107176538947e-05    
48030.1852253935          -0.534821525651693        -0.858763732425021        7.17567703755147e-06     
48030.7111513194          -0.527311491575987        -0.863539208963946        -6.97660815010875e-05    
48031.2370772454          -0.519731981484163        -0.868233531596263        1.39524654542831e-05     
48031.7630031713          -0.512026931823084        -0.872927805114483        -2.48974196604987e-05    
48032.2889290972          -0.504423849022309        -0.87747378471472         -5.63934317177471e-05    
48032.8148550231          -0.496668880470751        -0.881990227060301        2.48589863875045e-05     
48033.3407809491          -0.48888345184296         -0.886460251844045        -5.5608170977088e-05     
48033.866706875           -0.481158960852762        -0.890790100788183        -2.71174645990215e-05    
48034.3926328009          -0.473249299900685        -0.895120566552574        1.38871057340296e-05     
48034.9185587732          -0.465402933691333        -0.899352406661521        -7.09321896373539e-05    
48035.4444847454          -0.457528950802978        -0.903481046070999        4.42516715938918e-06     
48035.9704106713          -0.449503939363165        -0.907607497032371        -1.40723460356493e-05    
48036.4963365972          -0.441591520281458        -0.911599834442037        -6.38203490808854e-05    
48037.0222625232          -0.433556154954363        -0.915535827735019        2.34190692561204e-05     
48037.5481884491          -0.425458499951682        -0.919437782925521        -4.59855744902116e-05    
48038.074114375           -0.417454770865405        -0.923199957882338        -3.73913902545195e-05    
48038.6000403009          -0.409271325201497        -0.9269412089735          2.09371664895539e-05     
48039.1259662269          -0.401129738069124        -0.930603743265556        -6.68159644545199e-05    
48039.6518921528          -0.393003287188054        -0.934149461810003        -3.71747666450316e-06    
48040.1778180787          -0.38470781007102         -0.937684079633316        -1.79269752711452e-06    
48040.7037440046          -0.376525937755854        -0.941102525547005        -6.65983276870622e-05    
48041.2296699306          -0.368256692743598        -0.944442476974644        2.15384372825219e-05     
48041.7555959028          -0.359894543009059        -0.947753952656222        -3.38530604597893e-05    
48042.2815218287          -0.351651491689688        -0.950933685030171        -4.50619380475893e-05    
48042.8074477546          -0.343243612643618        -0.95407038977743         2.65774031617204e-05     
48043.3333736806          -0.334850893130804        -0.95714442318626         -5.9820434609727e-05     
